id,number,manufacturer,name,description,productStatus,inventory,price
WPW10384183,WPW10384183,Whirlpool,"Thermistor 
(Replaces: W10384183)","Thermistor 
(Replaces: W10384183)",in_stock,80,$72.40
W11562262,W11562262,Whirlpool,"Cover, Evaporator","Cover, Evaporator",backordered,0,$67.80
W11216993,W11216993,Whirlpool,"Lamp, Led","Lamp, Led",in_stock,51,$50.70
2254454,2254454,Whirlpool,"Bracket, Evaporator Fan Rear","Bracket, Evaporator Fan Rear",in_stock,56,$50.20
W11123941,W11123941,Whirlpool,"Switch, Rocker","Switch, Rocker",in_stock,33,$22.90
W10850162,W10850162,Whirlpool,"Bracket, Fan Motor","Bracket, Fan Motor",backordered,0,$20.30
W11256504,W11256504,Whirlpool,"Cover, Air Diffuser","Cover, Air Diffuser",backordered,0,$57.20
W10638176,W10638176,Whirlpool,"Cup, Air Diffuser","Cup, Air Diffuser",backordered,0,$70.40
W11244470,W11244470,Whirlpool,"Baffle, Air Manual (Replaces: W10570951)","Baffle, Air Manual (Replaces: W10570951)",backordered,0,$54.90
W10861170,W10861170,Whirlpool,"Assembly, Air Diffuser","Assembly, Air Diffuser",backordered,0,$45.90
W11562214,W11562214,Whirlpool,"Assembly, Evaporator Fan Wire (includes Thermal Fuse)","Assembly, Evaporator Fan Wire (includes Thermal Fuse)",backordered,0,$55.90
W11026417,W11026417,Whirlpool,"Knob, Air Control","Knob, Air Control",in_stock,14,$59.00
W11562261,W11562261,Whirlpool,"Cover, Water Tube","Cover, Water Tube",backordered,0,$4.60
W11562260,W11562260,Whirlpool,"Control, Electronic","Control, Electronic",in_stock,42,$206.90
W11512421,W11512421,Whirlpool,"Cover, Light","Cover, Light",backordered,0,$9.00
W11595235,W11595235,Whirlpool,"Rail, Center Track","Rail, Center Track",in_stock,53,$21.90
W10860753,W10860753,Whirlpool,"Assembly, Crisper Pan","Assembly, Crisper Pan",backordered,0,$104.00
WP3400065,WP3400065,Whirlpool,"Screw (stainless) 
(Replaces: 3400065)","Screw (stainless) 
(Replaces: 3400065)",backordered,0,$2.80
W11674479,W11674479,Whirlpool,"Assembly, Fc Shelf","Assembly, Fc Shelf",backordered,0,$137.60
WPW10628707,WPW10628707,Whirlpool,"Assembly, Shelf","Assembly, Shelf",backordered,0,$148.30
W10861806,W10861806,Whirlpool,"Pan, Meat","Pan, Meat",in_stock,47,$118.70
W10861519,W10861519,Whirlpool,"Holder, Meat Pan (Replaces: W10628698)","Holder, Meat Pan (Replaces: W10628698)",in_stock,45,$54.40
W11590562,W11590562,Whirlpool,"Control, Humidity","Control, Humidity",backordered,0,$13.70
W11164152,W11164152,Whirlpool,"Roller, Pan","Roller, Pan",in_stock,79,$9.90
W11175807,W11175807,Whirlpool,"Axle, Roller (Replaces: W10628712)","Axle, Roller (Replaces: W10628712)",in_stock,18,$11.20
W11674475,W11674475,Whirlpool,"Shelf Assembly, Crisper","Shelf Assembly, Crisper",backordered,0,$137.60
W11084244,W11084244,Whirlpool,"Rail, Track (right Hand)","Rail, Track (right Hand)",in_stock,95,$63.70
W11025414,W11025414,Whirlpool,"Rail, Track (left Hand)","Rail, Track (left Hand)",in_stock,10,$65.60
W11674478,W11674478,Whirlpool,"Assembly, Rc Shelf","Assembly, Rc Shelf",backordered,0,$137.60
LW10636410,LW10636410,Whirlpool,Refrigerator Door (includes Door Gasket) (white),Refrigerator Door (includes Door Gasket) (white),discontinued,0,
LW10668874,LW10668874,Whirlpool,Refrigerator Door (includes Door Gasket) (black),Refrigerator Door (includes Door Gasket) (black),discontinued,0,
W11575716,W11575716,Whirlpool,Refrigerator Door (includes Door Gasket) (stainless),Refrigerator Door (includes Door Gasket) (stainless),discontinued,0,
WPW10170540,WPW10170540,Whirlpool,"Screw 
(Replaces: W10170540)","Screw 
(Replaces: W10170540)",discontinued,0,
WPW10672333,WPW10672333,Whirlpool,"Handle, Door (white) 
(Replaces: W10672333)","Handle, Door (white) 
(Replaces: W10672333)",discontinued,0,
WPW10672334,WPW10672334,Whirlpool,"Handle, Door (black) (Replaces: W10672334)","Handle, Door (black) (Replaces: W10672334)",discontinued,0,
W10806512,W10806512,Whirlpool,"Handle, Door (stainless) 
(Replaces: W10653470)","Handle, Door (stainless) 
(Replaces: W10653470)",discontinued,0,
WP489357,WP489357,Whirlpool,"Screw 
(Replaces: 489357)","Screw 
(Replaces: 489357)",discontinued,0,
W10838574,W10838574,Whirlpool,"Gasket, Door (white)","Gasket, Door (white)",discontinued,0,
W11240749,W11240749,Whirlpool,"Gasket, Door (black)","Gasket, Door (black)",discontinued,0,
W11784834,W11784834,Whirlpool,"Gasket, Door (grey)","Gasket, Door (grey)",discontinued,0,
W11097831,W11097831,Whirlpool,"Trim, Door (Replaces: W10719703)","Trim, Door (Replaces: W10719703)",discontinued,0,
W11178521,W11178521,Whirlpool,"Badge 
(Replaces: W10884775)","Badge 
(Replaces: W10884775)",discontinued,0,
W11129820,W11129820,Whirlpool,"Trim, Door 
(Replaces: W10719700)","Trim, Door 
(Replaces: W10719700)",discontinued,0,
LW10636409,LW10636409,Whirlpool,Freezer Door (includes Door Gasket) (white) (Replaces: W10636409),Freezer Door (includes Door Gasket) (white) (Replaces: W10636409),discontinued,0,
LW10668875,LW10668875,Whirlpool,Freezer Door (includes Door Gasket) (black),Freezer Door (includes Door Gasket) (black),discontinued,0,
LW10638683,LW10638683,Whirlpool,Freezer Door (includes Door Gasket) (stainless),Freezer Door (includes Door Gasket) (stainless),discontinued,0,
W10830984,W10830984,Whirlpool,"Plug, Hole (white)","Plug, Hole (white)",discontinued,0,
W10830983,W10830983,Whirlpool,"Plug, Hole (black)","Plug, Hole (black)",discontinued,0,
W10830982,W10830982,Whirlpool,"Plug, Hole (grey)","Plug, Hole (grey)",discontinued,0,
WP2183003,WP2183003,Whirlpool,Thimble,Thimble,discontinued,0,
W10861499,W10861499,Whirlpool,"Gasket, Door (white) (Replaces: W10638675)","Gasket, Door (white) (Replaces: W10638675)",discontinued,0,
W11229610,W11229610,Whirlpool,"Gasket, Door (black)","Gasket, Door (black)",discontinued,0,
W11574983,W11574983,Whirlpool,"Gasket, Door (grey)","Gasket, Door (grey)",discontinued,0,
WP8281206,WP8281206,Whirlpool,Screw,Screw,discontinued,0,
W11745278,W11745278,Whirlpool,"Bracket, Door Stop","Bracket, Door Stop",discontinued,0,
WP488921,WP488921,Whirlpool,Screw,Screw,discontinued,0,
WP2212648,WP2212648,Whirlpool,"Plug, Hole (white) 
(Replaces: 2212648)","Plug, Hole (white) 
(Replaces: 2212648)",discontinued,0,
WP2212651,WP2212651,Whirlpool,"Plug, Hole (black)","Plug, Hole (black)",discontinued,0,
WP2254517,WP2254517,Whirlpool,"Plug, Hole (grey)","Plug, Hole (grey)",discontinued,0,
WP2156003,WP2156003,Whirlpool,"Endcap, Trim 
(Replaces: 2156003)","Endcap, Trim 
(Replaces: 2156003)",discontinued,0,
WP2218113,WP2218113,Whirlpool,"Door, Compartment 
(Replaces: 2218113)","Door, Compartment 
(Replaces: 2218113)",discontinued,0,
WP2188234,WP2188234,Whirlpool,"Door, Flip Up 
(Replaces: 2188234)","Door, Flip Up 
(Replaces: 2188234)",discontinued,0,
W11106290,W11106290,Whirlpool,"Trim, Shelf Door (Replaces: W10719701)","Trim, Shelf Door (Replaces: W10719701)",discontinued,0,
W11170805,W11170805,Whirlpool,"Trim, Door (Replaces: W10678772)","Trim, Door (Replaces: W10678772)",discontinued,0,
W11126055,W11126055,Whirlpool,"Trim, Door (Replaces: W10719702)","Trim, Door (Replaces: W10719702)",discontinued,0,
W11402852,W11402852,Whirlpool,"Bracket, Door Stop","Bracket, Door Stop",discontinued,0,
WPW10511911,WPW10511911,Whirlpool,"Bushing, Handle","Bushing, Handle",discontinued,0,
ARI7C4B781E09F4C135E8A56A812FBF5A4D,ARI7C4B781E09F4C135E8A56A812FBF5A4D,Whirlpool,Following Parts Not Illustrated,Following Parts Not Illustrated,discontinued,0,
W11416038,W11416038,Whirlpool,"Door Reversal Kit, White Model","Door Reversal Kit, White Model",discontinued,0,
W11415957,W11415957,Whirlpool,"Door Reversal Kit, Black Model","Door Reversal Kit, Black Model",discontinued,0,
W10676240,W10676240,Whirlpool,Door Reversal Kit Stainless Model,Door Reversal Kit Stainless Model,discontinued,0,
W10624648,W10624648,Whirlpool,"Support Plate, Compressor","Support Plate, Compressor",backordered,0,$61.80
W10633582,W10633582,Whirlpool,"Tray, Evaporator","Tray, Evaporator",backordered,0,$56.50
W11512423,W11512423,Whirlpool,Condenser (also Order The Following Lokringâ¢ Parts),Condenser (also Order The Following Lokringâ¢ Parts),backordered,0,$139.30
W11504445,W11504445,Whirlpool,5/4 Nr Ms 00 (high Side To Condenser),5/4 Nr Ms 00 (high Side To Condenser),in_stock,18,$15.70
W11506623,W11506623,Whirlpool,5 Nk Ms 00 (suction Line To Condenser),5 Nk Ms 00 (suction Line To Condenser),in_stock,77,$11.60
W11562215,W11562215,Whirlpool,"Heater, Defrost","Heater, Defrost",backordered,0,$78.00
W11562258,W11562258,Whirlpool,"Assembly, Evaporator (also Order The Following Lokringâ¢ Parts)","Assembly, Evaporator (also Order The Following Lokringâ¢ Parts)",in_stock,96,$127.30
W11504419,W11504419,Whirlpool,(8/7 Nr Al 00) (suction Line To Evaporator),(8/7 Nr Al 00) (suction Line To Evaporator),in_stock,30,$18.50
W11504449,W11504449,Whirlpool,4/2 Nr Al 00 (capillary Tube To Evaporator),4/2 Nr Al 00 (capillary Tube To Evaporator),in_stock,86,$19.70
WP489128,WP489128,Whirlpool,Screw,Screw,backordered,0,$6.70
